Country,Continent,RegionUN,SubregionUN,percent_undernourishment1991,percent_undernourishment2000,percent_undernourishment2010,percent_undernourishment2014,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,percent_nonstaples1991,percent_nonstaples2000,percent_nonstaples2009,gender_inequality_index,gender_inequality_rank,Year_PhysicianDensity,Ratio_Physician,Year_CHWdensity,Ratio_CHWdensity,Year_NursesMidwivesDensity,Ratio_NursesMidwivesDensity,year_earlychildbearing,percent_earlychildbearing,A1990_femaleED,A2000_femaleED,A2010_femaleED,A2011_13_femaleED,waterpiped1990,waterOtherIm1990,waterotherUnIm1990,watersurface1990,waterpiped2000,waterOtherIm2000,waterotherUnIm2000,watersurface2000,waterpiped2012,waterOtherIm2012,waterotherUnIm2012,watersurface2012,SantotalIm1990,Sanshared1990,SanOtherUnIm1990,SanDefecation1990,SantotalIm2000,Sanshared2000,SanOtherUnIm2000,SanDefecation2000,SantotalIm2012,Sanshared2012,SanOtherUnIm2012,SanDefecation2012,agriculture1990_govspend,education1990_govspend,health1990_govspend,socialprotection1990_govspend,agriculture2000_govspend,education2000_govspend,health2000_govspend,socialprotection2000_govspend,agriculture2010_govspend,education2010_govspend,health2010_govspend,socialprotection2010_govspend,agriculture2012_govspend,education2012_govspend,health2012_govspend,socialprotection2012_govspend
Niger,Africa,Africa,Western Africa,35.5,27.4,12.5,11.30000019,113,185,198,216,24,32,41,0.674,149,2008,0.019,,,2008,0.137,2006,50.9,3.51162,5.28012,11.12002,12.75708008,3.8,30.5,63.3,2.4,5.4,36.7,55.1,2.7,7.9,44.4,44.5,3.2,4.8,2.9,7.7,84.6,6.6,3.9,8.4,81.1,9,5.4,9.4,76.1,18.38991547,,,,12.44534492,,,,,,,,,,,
Nigeria,Africa,Africa,Western Africa,21.3,10.2,7,6.400000095,283,358,353,340,33,35,35,,,2009,0.408,2008,0.137,2008,1.605,2011,28.6,21.48967,22.43205,41.16663,,13.7,31.9,20.6,33.8,10.1,44.7,22,23.1,3.7,60.4,23.3,12.6,36.9,28.3,10.8,24,32.5,27.4,17,23.1,27.8,26,23.2,23,4.453873158,6.039730549,1.673543215,10.5039854,1.580145717,10.61912632,2.845806122,16.03699493,4.427225113,5.362803459,4.067347527,16.94104004,,,,
Norway,Europe,Europe,Northern Europe,,,,,427,463,548,588,67,67,68,0.068,9,2011,3.739,,,2011,13.399,,,103.00237,117.53429,112.29702,110.1724014,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,4.028380394,11.21846008,12.58129597,33.58256912,2.491326094,13.38086796,16.29000854,36.99203873,1.395822883,13.00606155,16.45206833,39.20119476,,,,
Oman,Asia,Asia,Western Asia,,,,,,,,,,,,0.348,64,2011,2.223,,,2011,5.003,,,35.13613,78.95972,,95.2745285,20.7,58.2,15.1,6.1,38.6,45.4,10.2,5.8,72.6,20.4,3.9,,81.8,,3.4,14.8,89,,1.5,9.5,96.6,,0,3.4,1.973766327,10.68082428,4.640849113,2.373516321,1.069052577,15.17320538,6.873136044,8.18536377,,,,,,,,
Pakistan,Asia,Asia,Southern Asia,27.2,23.8,18.3,21.70000076,166,182,168,163,45,48,50,0.563,127,2010,0.827,2010,0.066,2010,0.573,2006-2007,10.2,12.31722,,29.57166,30.85643959,22.5,62.7,7,7.7,29,59.3,6.4,5.3,36,55.4,5.7,2.8,26.8,2.8,18.2,52.2,37.4,4.4,20.8,37.3,47.6,6,23.4,23.1,0.827784359,1.943471193,0.529469609,1.564460397,0.702825904,0.940959871,0.637228847,0.765253365,3.059424877,1.905072212,0.871720433,0.178301007,,,,
Palau,Oceania,Oceania,Micronesia,,,,,,,,,,,,,,2010,1.381,,,2010,5.714,,,,87.68046,,,90,0,10,,92.2,0,7.8,,,,,,46.5,,53.5,0,81,,19,0,100,,0,0,,,,,,,,,,,,,,,,
Panama,Americas,Latin America and the Caribbean,Central America,23.3,27.5,11.3,10.60000038,299,305,317,294,59,59,56,0.506,107,2011,1.554,,,2011,2.402,,,60.76022,66.81174,72.64552,86.30966187,80.4,3.6,10.4,5.7,87.2,3,6.1,3.6,92.1,2.3,3.6,2.1,60,6.1,22.6,11.3,67,6.9,18.9,7.2,73.2,7.6,15.1,4.2,2.517671347,13.16813564,6.901754856,22.02366829,1.519312263,10.66728497,6.387531281,20.91372681,,,,,,,,
Papua New Guinea,Oceania,Oceania,Melanesia,,,,,,,,,,,,0.617,135,2008,0.053,2008,0.624,2008,0.457,2006,14.3,8.37723,,,34.39984131,12.4,21.3,23.4,42.9,10.8,24.3,21.8,43.1,9.2,30.5,17.9,42.4,20.2,3.6,60.5,15.7,19.2,3.5,62.9,14.4,18.7,3.4,66.3,11.5,7.215054989,21.03382874,8.500544548,0.962944925,2.62385869,16.45119286,5.193015575,1.709085107,,,,,,,,
Paraguay,Americas,Latin America and the Caribbean,South America,20.2,13,22.1,11,430,404,365,324,56,58,57,0.457,88,2002,1.107,,,2002,1.788,1990,16,31.39294,62.21278,69.46309,71.3888092,29.6,23.5,40.3,6.5,51.2,22.2,23.3,3.2,77.7,16,5.7,0.6,37.2,1.5,58.8,2.5,58.5,2.3,37.9,1.3,79.7,2.7,17.1,0.4,1.286589265,12.50059605,4.267442226,11.63268566,,,,,,,,,,,,
Peru,Americas,Latin America and the Caribbean,South America,31.6,22.5,13.6,8.699999809,207,365,467,469,42,41,43,0.387,77,2012,1.132,,,2012,1.514,2012,14.5,,81.77111,90.17081,88.11624146,53.7,20.7,16.6,9,67.4,13.2,12.8,6.5,81.9,4.9,9,4.2,54,5.9,6.6,33.5,63.2,6.8,9.8,20.2,73.1,7.9,12.8,6.3,,,,,,,,,1.578481197,8.935631752,6.418749809,20.97193718,,,,
Philippines,Asia,Asia,South-Eastern Asia,24.5,21.3,17.7,11.5,499,419,498,492,43,43,40,0.406,78,2004,1.153,,,2004,6,2008,7.1,73.33622,,,,24.3,59.3,14.6,1.8,33.3,54.4,11,1.3,42.8,49,7.3,0.9,57,12.5,14.7,15.8,65.5,14.4,8.2,11.9,74.3,16.4,1.6,7.7,6.570959568,16.38773537,3.953763247,1.582789183,5.730531693,18.7158947,2.27081275,3.773281097,5.871405602,15.76691628,2.634301186,6.815752983,,,,
Poland,Europe,Europe,Eastern Europe,,,,,417,508,457,503,58,58,59,0.139,26,2011,2.199,,,2011,5.837,,,89.46611,99.06878,96.5809,96.94193268,87.8,,,,94.9,,,,98,,,,,,,,89.6,,10.6,,,,,,,,,,2.791305542,1.742109656,2.957057953,10.59021568,1.978227377,12.45868969,11.01076031,37.17858887,,,,
Portugal,Europe,Europe,Southern Europe,,,,,770,813,836,767,63,68,67,0.116,21,2003,3.423,,,2003,4.359,,,60.12988,108.48939,110.95072,113.1319885,89,7.2,3.9,0,94.9,3,2.1,0,99.8,0,0.2,0,93.7,,6.3,0,97.7,,3.1,0,100,0,0,0,,12.26660442,9.43124485,23.46772575,1.716117859,15.54192162,15.14529037,29.30972481,0.771328807,12.56564808,13.60960293,36.34238815,,,,
Qatar,Asia,Asia,Western Asia,,,,,,,,,,,,0.524,113,2010,7.739,,,2010,11.874,,,90.98032,93.10621,116.74492,117.2262421,,,0,0,,,0,0,,,0,0,100,,0,0,100,,0,0,100,,0,0,,,,,,,,,,11.12132931,4.964310646,0.698569357,,,,
Republic of Korea,Asia,Asia,Eastern Asia,,,,,679,837,723,791,45,51,55,0.101,17,2012,2.143,,,2012,5.009,,,90.38738,98.71753,96.55421,96.51917267,,,,,86.7,6.7,6.6,,93.4,4.4,2.2,,100,,0,0,100,,0,0,100,,0,0,9.46765995,19.46972847,1.951454997,9.015997887,6.829566479,18.22277641,0.677831531,18.43788338,5.095668793,15.15403461,1.191290498,22.63419342,,,,
Republic of Moldova,Europe,Europe,Eastern Europe,,,,,,361,397,397,,54,54,0.302,51,2012,2.859,,,2012,6.492,2005,4.8,98.16723,82.51073,89.02747,88.96159363,,,,,34.7,58.7,6.6,0,55.1,41.4,3.5,0,,,,,78.6,5.6,15.8,0,86.7,6.2,7.1,0,,,,,3.104292631,,,,3.16951108,,,,,,,
Romania,Europe,Europe,Eastern Europe,,,,,497,547,676,717,54,51,56,0.32,54,2011,2.386,,,2011,5.511,,,100.38102,81.73613,94.22976,94.2260437,52.7,22.5,24.7,,57.2,27,15.8,,61.7,,,,71.1,1.8,27.1,,71.8,1.8,26.3,,,,,,10.50815964,2.494221687,8.448615074,29.64777374,3.382463932,7.18429184,1.032136202,4.354372025,,,,,,,,
Russian Federation,Europe,Europe,Eastern Europe,,,,,,342,467,488,,53,57,0.314,52,2006,4.309,,,2006,8.519,,,,,,94.16396332,74.4,18.8,6.7,0.2,78.1,17,4.3,0.6,82.1,15,2.1,0.9,73.8,14.6,10.6,1,72.1,14.2,12.7,1,70.5,13.9,14.6,1,,,,,1.303911328,2.002866745,0.86267668,2.426879883,0.282705843,5.936822414,5.291285515,5.20208931,,,,
Rwanda,Africa,Africa,Eastern Africa,52.3,53.4,30.7,33.79999924,523,473,595,614,51,47,49,0.41,79,2010,0.056,2004,1.415,2010,0.689,2010,5.2,14.58638,10.00632,29.78908,32.82526016,1.5,58.8,14.7,24.9,3.5,62.7,15.8,18.1,4.5,66.2,17.8,11.4,30.2,4.2,58.7,6.8,47.2,7.4,40.6,4.9,63.8,10,23.3,3,,,,,,,,,6.57911396,15.81846333,9.910684586,4.154057026,,,,
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean,14.2,20,17.1,,201,357,264,259,64,72,71,,,2001,1.167,2001,1.143,2001,7,,,,110.46832,97.1167,96.26500702,,,1.7,,91.7,6.6,1.7,,,,1.7,,,,,,87.3,,9.7,3.1,,,,,,,,,,,,,,,,,,,,
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean,12.8,11.7,13.7,,556,559,356,322,64,68,66,,,2002,0.473,,,2002,2.162,,,59.38726,83.41475,94.64371,90.4177475,69.6,23.7,6.7,,75.7,18.2,6.2,,82.2,11.6,6.2,,57.6,3.4,29.3,9.6,62.4,3.7,24.8,9.1,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,20.1,14.7,5.7,5.699999809,279,355,981,679,63,58,65,,,2001,0.525,2000,0.381,2001,4.034,,,,94.62014,108.84535,98.96179962,51.5,36.6,11.8,,74.1,19.3,6.5,,,,4.9,,63.2,,33.3,3.5,73.2,,23.3,3.5,,,,,6.308282852,15.41415215,12.89083862,1.9199121,2.750808954,14.6601944,11.39158535,9.870550156,,,,,,,,
Samoa,Oceania,Oceania,Polynesia,11,5.7,,,420,485,574,527,68,69,72,0.517,111,2008,0.452,,,2008,1.851,2009,4.9,,83.88385,93.59247,90.37651062,74.3,14.7,11.1,0,79.7,13.6,6.7,0,85.4,13.1,0.8,0.7,92.7,5.9,1.3,0.1,92.2,5.9,1.8,0.1,91.6,5.9,2.5,0.1,,,,,,,,,,,,,,,,
San Marino,Europe,Europe,Southern Europe,,,,,,,,,,,,,,2012,5.133,,,2012,8.889,,,,,98.16914,95.9369812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,Africa,Africa,Middle Africa,22.9,18.5,7.6,6.800000191,234,571,631,629,48,49,53,,,2004,0.491,2004,2.267,2004,1.867,2008-2009,25.1,,,52.85505,84.55104065,,,,,22.8,55.4,6.1,15.7,32.8,64.2,1.4,1.6,,,,,20.9,3.9,4.7,70.6,34.4,6,5.2,54.4,,,,,,,,,,,,,,,,
Saudi Arabia,Asia,Asia,Western Asia,,,,,695,505,477,498,51,49,46,0.321,56,2009,0.767,,,2009,2.341,,,,,104.23621,116.6640472,58.3,33.7,8,,63.3,31.7,5,,,,3,,91.5,,0,8.5,96.8,,0,3.2,100,,0,0,,,,,,,,,,,,,,,,
Senegal,Africa,Africa,Western Africa,22,24.4,19.3,16.70000076,108,159,214,200,35,39,38,0.537,119,2008,0.059,,,2008,0.42,2010-2011,21.5,10.21957,12.49104,33.87356,39.10522842,18,41.8,38.7,1.4,30.1,36.2,32.5,1.3,45.9,28.1,25,1,35.1,11.2,16.7,36.9,42.7,13.4,16,27.8,51.9,16.2,14.9,17.1,4.719592094,,,,10.57726192,,,,13.89999962,,,,,,,
Serbia,Europe,Europe,Southern Europe,,,,,,,510,571,,,62,,,2009,2.114,,,,,2010,3.3,,92.14667,92.35557,92.63726044,,,0.5,0,85.1,14.4,0.5,0,86,13.2,0.8,0,95.9,1.6,2.4,0.1,95.9,1.6,2.4,0,97.3,1.5,1.2,0,,,,,,,,,2.974670887,13.35841751,0.906191587,38.86457825,,,,
Seychelles,Africa,Africa,Eastern Africa,16.5,9.1,8.7,,,,,,53,55,51,,,2004,1.513,,,2004,7.925,,,,103.02711,104.30076,106.0939407,,,0,3.7,,,0,3.7,92.5,3.8,0,3.7,97.1,,2,0.9,97.1,,2,0.9,97.1,,2,0.9,,,,,2.90109396,7.28238821,6.917747498,14.1115799,1.430307388,10.23433113,10.89854145,11.44584465,,,,
Sierra Leone,Africa,Africa,Western Africa,42.5,41.3,32.1,25.5,213,216,263,256,39,36,39,0.643,141,2010,0.022,2010,0.022,2010,0.166,2010,38.1,11.0511,,,,6.4,30.3,28.3,35,5.9,41.3,21.2,31.6,5.2,54.9,12.2,27.7,10.9,23.5,48,17.7,11.9,25.6,40.3,22.3,13,28,31.4,27.5,3.015504837,13.27798939,9.595897675,2.262239218,,,,,,,,,,,,
Singapore,Asia,Asia,South-Eastern Asia,,,,,,,,,,,,0.09,15,2010,1.921,,,2010,6.392,,,,,,,100,0,0,0,100,0,0,0,100,0,0,0,99.2,,0.8,0,99.7,,0.3,0,100,,0,0,0.660901368,14.44842815,4.584124088,2.109259605,0.673948407,12.41658592,5.122672081,3.54901886,0.245726511,21.07837486,8.074115753,7.732151508,,,,
Slovakia,Europe,Europe,Eastern Europe,,,,,,407,428,430,,61,64,0.164,32,2007,3,,,,,,,,86.68326,93.24912,94.14866638,95.2,4.7,0.2,0,94.4,5.5,0.2,0,,,0,0,99.8,0.2,0.1,0,99.8,0.2,0.1,0,99.7,0.2,0.1,0,,,,,7.439391613,14.68870544,6.204316139,8.700386047,6.614661217,2.472937107,9.846748352,12.34856224,,,,
Slovenia,Europe,Europe,Southern Europe,,,,,,641,552,568,,61,62,0.021,1,2011,2.516,,,2011,8.459,,,,,97.35134,97.18160248,99.6,0,0.4,0,99.6,0,0.4,0,99.6,0,0.4,0,100,0,0,0,100,0,0,0,100,0,0,0,,,,,1.958333373,13.35185051,13.79629612,37.06597519,1.192676067,13.25464821,13.78704357,37.25802994,,,,
Solomon Islands,Oceania,Oceania,Melanesia,23.5,15.8,12.5,12.5,193,153,198,189,35,30,33,,,2009,0.224,,,2009,2.053,2007,14.5,10.5092,17.90215,44.90667,47.00785065,,,,,23.3,56.5,12.8,7.5,25.5,55,12.4,7.1,,,,,25.5,,17.2,57.4,28.8,,16.7,54.5,,,,,,,,,,,,,,,,
Somalia,Africa,Africa,Eastern Africa,,,,,119,88,91,88,,,,,,2006,0.035,,,2006,0.114,,,,,,,0.2,,,,4.1,19.4,55.6,20.9,,,,,,,,,21.8,14.9,10.5,52.8,,,,,,,,,,,,,,,,,,,,
South Africa,Africa,Africa,Southern Africa,,,,,234,235,216,231,45,43,46,0.461,94,2013,0.776,2004,0.203,2012,4.902,2003-2004,15,70.99412,88.55548,,103.4790802,51.7,29.7,4.9,13.8,62.4,24.4,4.3,8.9,79.2,15.9,3.4,1.5,58,10.1,17.7,14.2,65.1,11.3,13.6,9.9,74.4,12.9,7.9,4.8,,,,,0.396160752,3.548945189,2.387720346,0.251897484,0.478259623,2.950086594,3.930729151,0.12354321,,,,
South Sudan,Africa,Africa,Eastern Africa,,,,,,,,,,,,,,,,,,,,2010,27.9,,,,,,,,,,,,,,,14.1,29.4,,,,,,,,,8.9,2.7,11.4,77,,,,,,,,,,,,,,,,
Spain,Europe,Europe,Southern Europe,,,,,900,752,620,557,71,74,73,0.1,16,2012,3.695,,,2012,5.076,,,104.98224,114.73323,126.02926,131.3908539,99.3,0.7,0,0,99.3,0.7,0,0,99.3,0.7,0,0,100,0,0,0,100,0,0,0,100,0,0,0,1.11537683,8.631937981,,,1.494997859,11.15071487,13.3492651,33.32091141,1.127697229,10.73928833,14.31376934,37.15166855,,,,
Sri Lanka,Asia,Asia,Southern Asia,33.4,28.3,24.7,24.60000038,188,198,201,212,40,44,44,0.383,75,2010,0.68,,,2010,1.641,2006-2007,4.3,74.84267,,98.35522,102.3373337,11.1,56.5,25.1,7.4,20.7,58.6,16.3,4.4,29.5,64.3,4.5,1.7,67.6,5.8,13.1,13.5,78.7,6.5,7.4,7.5,92.3,7.3,0.3,0.2,5.751368999,10.48302269,5.435925007,13.14129257,4.300911427,9.603847504,6.426371098,11.20981884,,,,,,,,
Sudan,Africa,Africa,Northern Africa,,,,,,,,,,,,0.628,140,2008,0.28,2004,0.169,2008,0.84,2010,14,,,,,31.9,35.6,24.8,7.7,28.9,33.1,29.2,8.8,24.2,31.2,34.6,9.9,26.9,7.1,28.2,37.9,25.4,6.6,26.2,41.8,23.6,6,24.1,46.3,3.720291853,14.07214737,3.95383358,0.137000993,,,,,,,,,,,,
Suriname,Americas,Latin America and the Caribbean,South America,17.5,18.1,12.9,8.399999619,363,364,422,403,48,54,56,0.463,95,2004,0.911,,,2004,5.877,,,63.37421,,,97.14428711,,,,,75.3,13.7,3.2,7.9,67.1,28,1.6,3.2,,,,,80.5,9.9,1.7,7.9,80.3,9.6,4.5,5.6,,,,,,,,,,,,,,,,
Swaziland,Africa,Africa,Southern Africa,15.8,19.2,32.1,26.10000038,327,170,285,289,44,45,40,0.529,115,2009,0.17,2004,4.34,2009,1.602,2010,22.1,,42.09852,57.95843,59.06610107,18.3,20.6,15.7,45.4,25.4,26.5,15.1,33,37.2,36.9,14.2,11.7,48.5,17.9,9,24.6,51.8,19,6.1,23.1,57.5,20.7,7.9,13.9,8.12919426,29.2697525,11.13763523,0.459703863,6.607580185,19.83998299,8.011174202,0.417284548,,,,,,,,
Sweden,Europe,Europe,Northern Europe,,,,,447,474,566,578,73,72,72,0.054,4,2007,3.265,,,2007,11.048,,,91.74851,170.52998,97.61178,97.57887268,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0.929987311,10.18979359,,43.26655579,0.179242477,12.25443172,11.02866077,42.19625854,0.377242714,13.30478954,13.52091408,41.18398285,,,,
Switzerland,Europe,Europe,Western Europe,,,,,598,521,566,648,76,74,76,0.03,2,2011,3.938,,,2011,17.359,,,92.43661,92.24902,94.35122,94.74610901,99.7,0.3,0,0,99.7,0.3,0,0,99.7,0.3,0,0,100,0,0,0,100,0,0,0,100,0,0,0,8.378840446,5.687326908,2.656129837,27.54693413,8.364666939,5.545648098,0.418985397,25.80305481,,17.57951546,6.04305315,40.75098419,,,,
Syria,Asia,Asia,Western Asia,,,,,565,496,435,607,49,54,53,0.556,125,2008,1.5,,,2008,1.86,2006,8.7,42.68163,42.08011,72.74725,74.5934906,71.1,14.5,14,0.3,77.1,10.4,12.2,0.3,86.7,3.4,9.7,0.3,84.5,3.9,3.1,8.5,88.6,4,2.4,4.9,95.7,4.2,0.1,0,10.95569515,7.412663937,1.91002202,2.233203888,10.21287346,7.304963589,1.862978816,1.232284904,,,,,,,,
Tajikistan,Asia,Asia,Central Asia,,40.9,35,32.29999924,,223,456,510,,27,37,0.383,75,2011,1.899,,,2011,4.476,2005,3.5,,67.49365,78.5079,82.09594727,,,,,33.9,25.6,10.2,30.2,43.1,28.6,6,22.3,,,,,90.4,3,5.2,1.4,94.4,3.1,2.3,0.2,,,,,,,,,,,,,,,,
Thailand,Asia,Asia,South-Eastern Asia,43.3,20,7.9,6.800000191,332,504,428,407,48,52,48,0.364,70,2010,0.393,2000,0.059,2010,2.077,2005-2006,8.3,29.12524,,86.01195,89.40236664,28.9,57.5,11.9,1.7,38.9,52.8,7.6,0.7,47.7,48.1,4.2,0,81.7,5.7,0.5,12,91.3,6.2,0.2,2.3,93.4,6.6,0,0,10.43795967,20.07962799,6.765205383,3.597288609,8.823270798,22.41773796,8.404872894,5.874501228,5.759964943,20.03800583,9.591312408,15.05043888,,,,
The former Yugoslav Republic of Macedonia,Europe,Europe,Southern Europe,,,,,,830,829,769,,59,63,0.162,31,2009,2.624,,,,,2011,1.6,,81.42679,81.05771,82.43080902,,,0.7,0,92,7.3,0.7,0,89.5,9.9,0.6,0,,,,,89.9,3.5,6.5,0.1,91.4,3.5,4.6,0.6,,,,,,,,,,,,,,,,
Timor-Leste,Asia,Asia,South-Eastern Asia,41.8,36.9,32.8,28.79999924,146,125,114,135,26,26,28,,,2011,0.073,2004,2.021,2011,1.112,2009-2010,8.8,,,54.64945,57.17435074,,,,,14,40.3,39.9,5.7,23.6,46.9,21.4,8.1,,,,,37.4,8.2,6.7,47.7,38.9,8.8,25.1,27.2,,,,,,,,,,,,,,,,
Togo,Africa,Africa,Western Africa,34.8,26.4,18.9,15.30000019,146,107,100,100,25,24,27,0.579,129,2008,0.053,2004,0.095,2008,0.274,2010,17.3,10.93085,19.7814,,,4.1,44,32.1,19.8,4.6,49,26.9,19.5,5.1,55.6,20.4,18.9,13.2,23.7,3,60.1,12.2,21.5,9,57.2,11.3,19.6,15.7,53.3,4.438343048,,,,5.479797363,,,,,,,,,,,
Tonga,Oceania,Oceania,Polynesia,,,,,,,,,,,,0.458,90,2010,0.563,,,2010,3.883,,,97.50586,112.68844,107.48866,102.5347977,,,1.4,,,,1.4,,,,0.7,,95.4,,4.6,,93.5,,6.5,,91.3,,8.7,,6.416275024,12.86645031,8.788199425,1.857384443,8.621511459,11.4741888,9.531321526,5.47775507,3.490385532,14.0763979,9.559217453,1.785426974,,,,
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,12.4,13.3,10.1,9,215,268,301,385,59,62,64,0.321,56,2007,1.175,,,2007,3.562,,,84.69165,,,,68.5,21.8,8,1.7,72.6,19.6,6.1,1.7,,,,,92.7,6.7,0.5,0,92.4,6.7,0.9,0,92.1,6.7,1.2,0,4.911634922,13.36103725,8.400127411,14.03509235,3.334928036,16.9340992,6.420786381,14.73413277,,,,,,,,
Tunisia,Africa,Africa,Northern Africa,,,,,638,732,938,879,44,47,47,0.265,48,2010,1.222,,,2009,3.28,2011-2012,0.5,39.20253,76.77098,92.17678,93.30848694,60.6,20.9,17.7,0.7,70.7,18.7,9.9,0.7,,,2.5,0.7,72.6,3.2,2.2,21.9,81.9,3.7,3.4,11,90.4,4.4,3.6,1.6,8.535767555,19.38264084,7.28125906,2.173843622,9.263533592,21.96372223,7.489274025,1.642570853,5.480463505,24.31203651,6.190134525,2.308823109,,,,
Turkey,Asia,Asia,Western Asia,,,,,908,1009,953,997,46,46,50,0.36,69,2011,1.711,,,2011,2.402,2003,7.8,37.26889,60.96567,80.67489,83.78385925,74.7,10.8,14.1,0.4,87.1,5.7,6.9,0.3,98.5,1.1,0.3,0,83.5,1.9,12.5,2.1,87.2,1.9,9.8,1.1,91.2,1.8,6.7,0.3,1.547221661,14.6205864,3.192810059,2.114877939,2.824879885,7.877432823,3.517132521,7.425576687,,14.11548615,5.471926689,20.39666176,,,,
Turkmenistan,Asia,Asia,Central Asia,,9,,,,395,582,571,,37,41,,,2002,4.179,,,2002,9.044,2000,1.9,,,,,,,,,52.9,30.5,5.6,11.1,45.3,25.7,28.6,,98.1,,1.3,0.6,98.3,,1.1,0.6,99.1,,0.5,0.5,,,,,,,,,,,,,,,,
Tuvalu,Oceania,Oceania,Polynesia,,,,,,,,,,,,,,2009,1.091,,,2008,5.818,2007,3.2,,,,,89.8,0,10.2,,94,0,6,,96.8,0.8,2.3,,73.1,5.7,16.3,4.9,78.4,6.4,10.6,4.6,83.3,7,5.4,4.3,,,,,,,,,,,,,,,,
Uganda,Africa,Africa,Eastern Africa,27.1,26.9,32.9,25.70000076,610,609,485,477,55,55,55,0.529,115,2005,0.117,2005,0.188,2005,1.306,2011,33,8.332,14.23127,,,0.7,40.9,35.2,23.2,2.3,54.2,26.1,17.4,4.8,69.9,14.9,10.4,26.2,17,37.1,19.7,29.8,19.2,36.5,14.5,33.9,22.7,35.2,8.3,2.295883894,4.111742496,1.42284286,5.732392788,6.310394764,21.05346298,6.214440346,1.96815443,3.890469551,14.3747139,8.639874458,4.998816013,,,,
Ukraine,Europe,Europe,Eastern Europe,,,,,,364,508,601,,50,59,0.326,61,2012,3.531,,,2012,7.599,2007,3.2,,99.4064,94.21549,96.69046021,,,,,78,18.8,3.1,0,66.4,31.6,2,0,,,,,95.1,2.6,2.2,0.1,94.3,2.6,3.1,0,,,,,1.577571988,7.740886688,2.13533926,24.64706612,2.374366283,9.488996506,2.885159254,22.83065414,,,,
United Arab Emirates,Asia,Asia,Western Asia,,,,,1044,1030,425,428,66,58,57,0.244,43,2007,1.93,,,2007,4.09,,,69.29347,,,,,,0.3,0,78.4,21.3,0.3,0,,,0.4,0,97.4,2.5,0.1,0,97.4,2.4,0.2,0,97.5,2.3,0.2,0,0.727046132,14.76249886,6.896551609,2.908184528,0.670471489,17.63380241,7.323108673,10.55936623,,,,,,,,
United Kingdom,Europe,Europe,Northern Europe,,,,,451,471,592,602,72,69,68,0.193,35,2012,2.79,,,2012,8.826,,,85.18567,102.07417,106.72466,95.49732971,99.6,0.4,0,0,99.6,0.4,0,0,99.6,0.4,0,0,100,0,0,0,100,0,0,0,100,0,0,0,0.313597798,11.13237953,12.09409714,33.065979,0.676232934,13.58874226,15.41710854,40.27305222,0.358206123,13.8380394,16.33855057,35.69323349,,,,
United Republic of Tanzania,Africa,Africa,Eastern Africa,28.8,40.5,35.5,34.59999847,228,199,292,309,30,35,41,0.553,124,2006,0.008,,,2006,0.242,2010,28.3,,,28.42047,32.63491058,6.7,48.3,24.9,20.1,8,46.3,26.8,18.9,9.3,44,29.5,17.3,6.6,4.4,80.4,8.6,8.8,6.4,74.2,10.5,12.2,9.6,65.6,12.5,5.531927109,26.02356529,21.39923286,24.55685234,6.375483036,22.16819763,8.793344498,7.80103159,,,,,,,,
United States of America,Americas,Northern America,Northern America,,,,,645,706,604,576,74,74,75,0.262,47,2011,2.452,,,2005,9.815,,,90.49721,93.01242,93.69607,93.85697937,97.6,0.8,1.6,0,98.2,0.6,1.2,0,98.6,0.5,0.8,0,99.5,0,0.5,0,99.7,0,0.3,0,100,0,0,0,0.94206357,2.96657443,4.604890347,41.85390854,2.037955046,3.005338192,8.636574745,50.71405029,0.617901683,3.695084572,10.6779871,54.65423965,,,,
Uruguay,Americas,Latin America and the Caribbean,South America,7.6,,5.2,,232,375,383,399,61,61,51,0.364,70,2008,3.736,,,2008,5.548,,,,104.66201,96.25767,,89.6,5.9,4.3,0.2,93.7,3.5,2.7,0.1,99.5,0,0.5,0,92.2,2.5,0.8,4.6,93.8,2.5,0.7,3,96.4,2.6,0.6,0.3,1.299724221,7.246947765,4.411185741,6.222922325,1.221090555,7.097752094,5.789067268,7.763207436,,,,,,,,
Uzbekistan,Asia,Asia,Central Asia,,13.5,7.4,5.800000191,,360,769,811,,42,42,,,2012,2.381,,,2012,11.974,2006,1.8,,86.77997,103.7833,104.0033188,56.6,33.3,5,5,52.2,36.5,7,4.3,47.4,39.9,9.5,3.2,83.7,,16.2,0.1,90.9,,9.1,0.1,100,,0,0,,,,,,,,,,,,,,,,
